symbol,price,change_abs,change_rel_percent,volume,avg_vol_three_month,market_cap,pe_ratio_ttm
MRK,125.37,4.59,+3.80,5.927,8.431,317.69B,69.65
MRVL,66.28,-1.42,-2.10,6.007,10.744,57.299B,
CVE,16.15,-0.03,-0.19,5.885,10.716,30.541B,10.16
CCJ,50.77,3.02,+6.32,5.724,5.054,22.093B,112.82
UBER,66.37,1.1,+1.69,5.768,32.117,136.583B,127.64
NEM,35.54,1.03,+2.98,5.832,13.966,40.959B,
ING,13.44,-0.76,-5.32,5.659,2.65,44.657B,7.64
CNHI,12.28,0.28,+2.33,5.552,15.159,15.819B,7.10
SNAP,16.03,0.14,+0.91,5.536,23.302,26.4B,
X,46.12,-0.9,-1.90,5.51,6.649,10.292B,9.94
SQ,66.21,1.2,+1.85,5.559,12.175,40.659B,
BTG,2.812,0.012,+0.43,5.463,9.187,3.657B,11.25
RLX,1.8501,0.0301,+1.65,5.324,9.053,2.906B,185.01
FCX,39.98,0.29,+0.73,5.333,11.808,57.331B,31.23
KMI,17.02,0.1,+0.59,5.516,14.343,37.832B,15.61
PBR-A,16.73,0.33,+1.98,5.85,6.377,110.508B,4.06
FTNT,65.73,1.24,+1.92,5.244,7.461,50.475B,45.65
ABEV,2.64,0.02,+0.76,5.239,8.929,41.779B,13.89
BILI,9.35,0.28,+3.14,5.129,6.436,3.856B,
PSNY,1.89,-0.28,-12.90,5.116,2.952,3.988B,
VRT,59.21,2.88,+5.11,5.469,5.744,22.585B,88.37
GRAB,3.14,0.07,+2.28,5.064,19.048,12.284B,
MDLZ,75.92,0.65,+0.86,5.076,6.44,103.32B,20.97
PENN,21.35,-1.19,-5.30,5.074,5.518,3.241B,
